RegionID,RegionName,State,StateCodeFIPS,Date,HousingPrice
1509,Alachua County,FL,12,2010-01-31,167705.39782147363
378,Baker County,FL,12,2010-01-31,140451.29009034229
67,Bay County,FL,12,2010-01-31,177323.25643630783
2148,Bradford County,FL,12,2010-01-31,110644.91242738812
1556,Brevard County,FL,12,2010-01-31,137329.24383047235
1561,Broward County,FL,12,2010-01-31,146697.04687263875
1571,Calhoun County,FL,12,2010-01-31,95040.1353039692
2650,Charlotte County,FL,12,2010-01-31,124302.4188740756
938,Citrus County,FL,12,2010-01-31,124077.55787119376
118,Clay County,FL,12,2010-01-31,160915.42457685302
1638,Collier County,FL,12,2010-01-31,255264.5471260397
2212,Columbia County,FL,12,2010-01-31,120542.60414937814
1659,De Soto County,FL,12,2010-01-31,93495.947648459
480,Dixie County,FL,12,2010-01-31,76888.96097633975
489,Duval County,FL,12,2010-01-31,140511.4346471615
2259,Escambia County,FL,12,2010-01-31,137346.7184580867
1707,Flagler County,FL,12,2010-01-31,155267.42682225432
2272,Franklin County,FL,12,2010-01-31,200168.61050769707
1717,Gadsden County,FL,12,2010-01-31,106323.2520748758
2704,Gilchrist County,FL,12,2010-01-31,117183.37171692106
1042,Glades County,FL,12,2010-01-31,88711.34136734491
169,Gulf County,FL,12,2010-01-31,156607.677061495
2315,Hamilton County,FL,12,2010-01-31,82248.83113982354
1076,Hardee County,FL,12,2010-01-31,85581.88136610376
1093,Hendry County,FL,12,2010-01-31,79046.07235108274
2341,Hernando County,FL,12,2010-01-31,122557.2243266764
2724,Highlands County,FL,12,2010-01-31,96398.901637651
3165,Hillsborough County,FL,12,2010-01-31,142764.2526879294
1094,Holmes County,FL,12,2010-01-31,96629.55765988944
3168,Indian River County,FL,12,2010-01-31,150160.96500238887
1794,Jackson County,FL,12,2010-01-31,97185.3434936052
2735,Jefferson County,FL,12,2010-01-31,134478.90942161353
2769,Lafayette County,FL,12,2010-01-31,102396.39569961307
219,Lake County,FL,12,2010-01-31,150990.3312901595
80,Lee County,FL,12,2010-01-31,138255.8196212848
232,Leon County,FL,12,2010-01-31,173979.4540313071
234,Levy County,FL,12,2010-01-31,116336.72857696144
1896,Madison County,FL,12,2010-01-31,100284.16525054972
1916,Manatee County,FL,12,2010-01-31,172501.15306053392
1161,Marion County,FL,12,2010-01-31,126327.16556666046
1176,Martin County,FL,12,2010-01-31,176154.98356132652
2964,Miami-Dade County,FL,12,2010-01-31,174162.6818749296
