Year,avg_florida_housing_price,median_florida_housing_price,avg_annual_growth_pct,avg_annual_volatility,county_count
2011,123820.62,116077.9,-7.58,2628.04,66
2012,122216.85,114642.82,-1.33,1760.46,66
2013,131230.99,125456.69,6.78,4036.37,66
2014,142503.33,134473.35,7.83,2901.59,66
2015,152479.77,145364.55,6.58,4011.38,66
2016,169728.03,161161.06,8.0,3668.66,67
2017,181260.77,176430.57,7.02,4137.87,67
2018,194544.37,189130.4,7.63,4071.66,67
2019,205752.7,198365.74,6.29,3297.53,67
2020,220323.94,213860.29,7.63,6231.31,67
2021,260143.87,244364.1,18.3,16875.1,67
2022,322355.96,303279.44,22.97,16334.01,67
2023,333876.01,310903.73,3.67,4140.18,67
2024,340240.97,312387.82,2.43,3127.65,67
2025,329862.02,301416.51,-2.53,5246.41,67
