Year,growth_group,avg_price_to_income_ratio,median_price_to_income_ratio,avg_housing_price,avg_median_household_income,county_count
2011,Lower-growth counties,2.9113344530948964,2.7471608515921533,128765.16135012364,44392.13043478261,23
2011,Moderate-growth counties,2.8813459216447956,2.8057808654862306,131950.6295922856,45268.0,22
2011,Higher-growth counties,2.4913939010319264,2.3610504590777963,109888.02208423271,43771.76190476191,21
2012,Lower-growth counties,2.86316713461152,2.645385722689193,126206.91918462045,44169.47826086957,23
2012,Moderate-growth counties,2.8915510754614204,2.8495835167709083,129480.29828156256,44195.181818181816,22
2012,Higher-growth counties,2.557640751161663,2.5021381201275354,110237.45215600819,42764.47619047619,21
2013,Lower-growth counties,2.9389634667014217,2.69227375341957,131256.19453635594,44530.0,23
2013,Moderate-growth counties,3.1402881543365906,2.8635126651888676,139645.8687210972,43666.545454545456,22
2013,Higher-growth counties,2.848354774490816,2.6812303932485992,122387.79487248672,42405.04761904762,21
2014,Lower-growth counties,3.0670544735214,2.795867139328552,138230.89575636745,44701.47826086957,23
2014,Moderate-growth counties,3.401595490458403,3.142588276345521,152588.63039660396,43805.36363636364,22
2014,Higher-growth counties,3.1531132348330715,3.137179205069773,136617.10163552762,42596.80952380953,21
2015,Lower-growth counties,3.1774885585837356,2.9054183476401003,143772.29365520406,44650.47826086957,23
2015,Moderate-growth counties,3.6462615931195828,3.3269408785740926,164460.62262032778,43900.5,22
2015,Higher-growth counties,3.4226085428828688,3.412184893589561,149465.15781947938,42907.23809523809,21
2016,Lower-growth counties,3.2568837512921873,3.0120130664186657,151349.26410085426,46063.52173913043,23
2016,Moderate-growth counties,3.8411482326580098,3.5791492209890716,178197.75590429272,45158.318181818184,22
2016,Higher-growth counties,3.9288224757857653,3.827825958961867,180472.45473415058,44355.27272727273,22
2017,Lower-growth counties,3.2896828248588217,3.1215539663824154,159326.46899205676,48113.086956521736,23
2017,Moderate-growth counties,3.94022544457255,3.7142909961001447,190446.1504473638,47041.545454545456,22
2017,Higher-growth counties,4.072862839178781,3.9962974852962665,195006.6890939338,46234.318181818184,22
2018,Lower-growth counties,3.3882157033935396,3.118438074306728,170612.0190461513,49989.82608695652,23
2018,Moderate-growth counties,4.052642746339605,3.8895033116563678,203492.6002905286,48888.681818181816,22
2018,Higher-growth counties,4.2286881269102246,4.127221903382859,210616.33717530512,48217.681818181816,22
2019,Lower-growth counties,3.4772240182136582,3.222685469627533,181117.36282145142,51610.47826086957,23
2019,Moderate-growth counties,4.04648828808355,4.0720979135922475,214716.83486784977,51891.27272727273,22
2019,Higher-growth counties,4.293392950798831,4.156739650320189,222543.68248233767,50354.36363636364,22
2020,Lower-growth counties,3.7097837156095417,3.595736669880798,195848.32979226217,52499.30434782609,23
2020,Moderate-growth counties,4.11484303060005,4.211905896245042,229145.3945531302,54582.545454545456,22
2020,Higher-growth counties,4.446060367977595,4.31585287588754,237090.62983532317,51976.77272727273,22
2021,Lower-growth counties,4.079956746852576,3.953725953334375,229352.8640574429,56008.13043478261,23
2021,Moderate-growth counties,4.615429492645784,4.6156079958094605,273012.46930854494,58024.36363636364,22
2021,Higher-growth counties,4.963016090370532,4.749709365863398,279465.8710239595,55065.13636363636,22
2022,Lower-growth counties,4.482662639458673,4.300670020134439,274514.1980639622,60784.782608695656,23
2022,Moderate-growth counties,5.221366898431031,5.190999888688667,343379.44636405556,64199.545454545456,22
2022,Higher-growth counties,5.682425554366896,5.550413643908115,351348.84597361827,60420.13636363636,22
2023,Lower-growth counties,4.3408216594271645,4.12903964415122,281427.2629370719,64267.69565217391,23
2023,Moderate-growth counties,5.144486340534006,5.075796806256062,355292.95483585575,67381.13636363637,22
2023,Higher-growth counties,5.5438585445783,5.328418389026172,367291.8540019612,64809.454545454544,22
2024,Lower-growth counties,4.246608445981574,4.127260832721762,287297.417144444,67366.43478260869,23
2024,Moderate-growth counties,5.041219179144911,4.893853946290053,359364.4414452717,69721.59090909091,22
2024,Higher-growth counties,5.410264709659997,5.078334676301797,376467.5713675669,68087.59090909091,22
2025,Lower-growth counties,3.9299586541940066,3.820846475443356,282190.39701374836,71583.41739130583,23
2025,Moderate-growth counties,4.5514726929745555,4.43110865091577,346462.19724567985,74672.2954545474,22
2025,Higher-growth counties,4.916429022492409,4.585900982118774,363100.3645167203,72661.60454545669,22
