STCOFIPS,RegionName,avg_housing_price,avg_annual_price_growth_pct,total_appreciation_from_baseline_pct,flood_risk,hurricane_risk,social_vulnerability,resilience,cumulative_climate_disasters,cumulative_nfip_claim_payment,avg_price_to_income_ratio
12001,Alachua County,206026.83039067962,4.385366048603323,87.81854874093811,0.0,96.70421360033376,34.76463104,80.97964376590329,19,6741574.43,4.044848923763551
12003,Baker County,200855.45871081523,5.61213328333306,120.9296711675576,0.0,74.46808510638297,24.42748092,71.78753180661577,19,2011586.32,3.2640772394198057
12005,Bay County,235650.55162125148,5.009758554626709,110.24784611689452,77.2,98.66499791405924,30.8524173,29.4529262086514,21,158586013.69,4.072031940062737
12007,Bradford County,152309.2478057336,5.60870593149004,120.59389027109022,0.0,87.56779307467667,48.31424936,37.91348600508906,19,3972371.02,3.082374663243003
12009,Brevard County,223835.1554544448,6.910939409603521,169.69593947142187,82.0,99.70796829370046,40.83969466,63.358778625954194,17,33558831.34,3.6479100071470536
12011,Broward County,274284.89276066597,7.779613924986142,207.4352158020408,97.0,99.8331247392574,55.37531807,44.17938931297709,14,370567774.03,4.36092031542914
12013,Calhoun County,123166.87017638361,4.481368253899851,94.35128094159934,21.2,89.11138923654566,73.12340967,13.899491094147582,19,181879.82,3.117996528032636
12015,Charlotte County,226283.9976791663,6.874131337389266,196.60276736382343,90.4,98.9987484355444,77.00381679,12.150127226463106,17,461155716.86,4.126323856592377
12017,Citrus County,173868.57455461827,6.003177313856368,134.35321933126832,92.60000000000004,98.7901543596162,82.28371500999998,6.838422391857506,22,322589290.18,3.7214528216376093
12019,Clay County,223967.07260650632,5.496876421611623,118.5699118563508,56.99999999999999,89.77889027951606,12.94529262,51.11323155216285,19,69913375.06,3.150618554356353
12021,Collier County,390870.285917119,6.083811435586382,143.0464909887704,95.2,99.74968710888608,74.71374045999998,41.284987277353686,21,1114534735.9,5.503530268856903
12023,Columbia County,166187.30234955935,5.737472582032343,123.8971285075342,0.0,90.44639132248643,71.40585242,29.262086513994912,19,5651760.7,3.4860102918034124
12027,De Soto County,156204.2014378177,7.336833212552668,186.54483201230184,33.4,96.24530663329162,90.83969466,1.399491094147583,15,14541777.96,3.752467413121599
12029,Dixie County,127495.83466688448,6.970458477030247,165.4485628306241,73.59999999999998,87.10888610763455,57.09287532,2.989821882951654,21,14831982.91,3.070025719878205
12031,Duval County,196608.07880101056,5.724665814653442,125.52329568836028,91.0,97.6637463496037,39.88549618,62.08651399491095,20,183286994.43,3.373049436304548
12033,Escambia County,182197.51537254627,5.101641025882008,108.32480604749516,76.79999999999998,98.83187317480184,41.47582697,34.66921119592875,16,191431729.57,3.360789055598482
12035,Flagler County,247538.03208292185,6.149494237228284,153.97512197763933,67.60000000000001,94.95202336253652,60.8778626,40.33078880407125,17,76277883.64,4.164016771649467
12037,Franklin County,291499.1890310951,5.478022160881953,125.89257026528588,77.4,90.48811013767208,75.03180662,46.94656488549619,21,20893013.130000003,5.960720644543843
12039,Gadsden County,127588.5198933641,4.64787153784643,93.11812728751964,0.0,91.44764288694202,95.03816794,33.81043256997455,19,121509.48,3.065001137288193
12041,Gilchrist County,174481.30632681717,6.584645316393624,152.7528945358496,25.8,84.27200667501043,73.47328244,10.782442748091604,21,431826.76,3.5479109480229796
12043,Glades County,148245.04381190302,7.705256794429826,193.78390878887296,0.0,87.6095118898623,89.7264631,0.922391858,13,112178.56,3.803723207118906
12045,Gulf County,258088.3414300217,6.8945495353030575,172.52301590922622,61.6,93.4084272006675,65.68066158,58.49236641221373,19,83108058.44000001,5.073800062678445
12047,Hamilton County,119021.40885737874,6.307562095039723,141.9426594908169,0.0,90.0709219858156,89.02671755999998,8.396946564885496,19,50367.3,2.8599528675135133
12049,Hardee County,131362.64873636683,6.850656406311888,162.1706781842697,0.0,91.36420525657071,48.02798982,4.389312977099237,14,5469225.05,2.9942240738941917
12051,Hendry County,154947.60400651713,9.20128897489122,267.02377478540024,25.6,94.24280350438048,90.29898219,0.667938931,12,297467.22,3.495274680918562
12053,Hernando County,187998.9016313398,7.350337799135771,179.28290341027355,74.2,96.078431372549,56.48854962,6.075063613231553,21,109478956.19,3.591801138549409
12055,Highlands County,141732.07548095973,6.6561894826079335,155.99521460261002,0.0,95.70296203587817,94.11577608,5.693384223918575,13,2033213.84,3.18865349094952
12057,Hillsborough County,243851.25155363872,7.222018564324457,180.8419910049706,92.4,99.29078014184395,36.38676845,33.23791348600509,20,1126276724.11,3.9054908630084437
12059,Holmes County,129552.35208630335,4.8839201593317245,103.116719522407,0.0,91.48936170212764,50.92239186,13.104325699745548,17,919453.36,3.1437039821199466
12061,Indian River County,242671.15364411767,6.566278827918489,159.12668970432557,69.0,99.16562369628704,64.18575064,60.52798982188296,13,12065238.86,4.193650834254573
12063,Jackson County,120081.83817666926,4.342102539659164,85.40514784147992,0.0,94.32624113475178,78.72137404999998,26.431297709923665,16,416819.28,2.8708719372212337
12065,Jefferson County,185540.71573700028,5.503329434989654,117.97013845079346,39.4,86.7334167709637,97.90076336,32.1882951653944,21,0.0,3.713285072581636
12067,Lafayette County,148989.99036654242,6.183518640394146,137.66304163034485,22.0,84.39716312056738,50.34987277,11.736641221374049,20,238241.86,3.0208063904081146
12069,Lake County,239288.06625722678,6.530590849017841,153.68062227819658,35.4,94.99374217772215,49.33206107,49.8409669211196,16,6082972.98,4.163325578062565
12071,Lee County,250705.24595411395,7.081684984776356,195.9954528115675,97.4,99.9165623696287,67.84351145,8.778625954198473,18,3878871800.62,4.162691574042047
12073,Leon County,205100.28463958923,3.5114338928593036,66.07358501450267,23.4,97.12140175219024,35.0826972,82.12468193384224,17,1948823.46,3.755075130791661
12075,Levy County,175688.5702146301,6.5491147217009615,154.19451000556478,72.59999999999998,91.6145181476846,93.44783715,9.16030534351145,21,46948932.89,4.062323577677769
12077,Liberty County,126633.26850838392,5.6209921955969575,111.6508445730006,28.6,82.06090947017105,54.73918575,26.33587786259542,20,0.0,2.850343900041023
12079,Madison County,131901.43190005267,5.34666820401332,110.51226151221782,0.0,90.5715477680434,79.96183206,22.678117048346056,20,260077.14,3.3855525945202234
12081,Manatee County,290688.08906917,6.761673910584339,174.7814935279177,98.0,99.33249895702964,54.8346056,22.7735368956743,21,621365987.87,4.715188184119501
12083,Marion County,176093.06266528647,6.115211614779868,135.79000543004466,24.6,97.83062161034628,69.62468193,16.50763358778626,19,5170797.94,3.6124859443081623
12085,Martin County,293710.85747274087,6.7219568068685005,166.81880296279292,73.0,98.7067167292449,68.98854962,47.77353689567431,14,7559944.82,4.496126103050665
12086,Miami-Dade County,318826.6705996035,8.026022835641992,212.0168530159945,99.6,99.95828118481434,75.85877863,42.90712468193384,12,288350422.45,5.778342504403732
12087,Monroe County,736500.2358488863,7.4840359620632535,93.46408069565044,98.8,97.99749687108884,53.94402036,29.38931297709924,14,324202018.58000004,9.708846721508582
12089,Nassau County,310126.21180429717,6.057701176296321,136.49408663964508,75.79999999999998,88.36045056320401,20.54707379,75.57251908396947,20,9657572.61,4.31035898365411
12091,Okaloosa County,248019.57833297196,4.699871248177641,100.97541400726176,62.6,98.08093450146016,26.74936387,41.57124681933841,16,23016039.24,3.755184374354845
12093,Okeechobee County,161002.2344459161,7.8525968802216815,200.9841961296032,0.0,93.53358364622444,87.91348601,2.9580152671755724,13,512263.49,3.5690802690553918
12095,Orange County,259858.5266333834,7.357576046785066,186.0997503059605,0.0,98.0392156862745,31.74300254,41.25318066157761,16,69324860.48,4.21203568619761
12097,Osceola County,240178.97408482598,7.858897182659842,208.19725737206844,0.0,94.15936587400918,29.93002545,33.49236641221374,17,24084282.160000004,4.27091645659441
12099,Palm Beach County,304221.794370899,7.244242967739979,184.505524691306,93.4,99.87484355444305,59.82824427,24.491094147582697,14,26918103.82,4.580061596162946
12101,Pasco County,217364.38216285637,6.649342632570129,160.67842246848554,90.8,98.1226533166458,39.66284987000001,10.432569974554708,20,589065143.03,3.8978917475606645
12103,Pinellas County,244822.74888784028,6.974027205164144,180.3995943086425,99.2,98.8735919899875,59.92366412,10.909669211195927,20,3565829110.6600003,4.245651712989412
12105,Polk County,194188.465311567,7.179208802528536,177.95871694864726,0.0,98.49812265331664,49.80916031,27.385496183206108,16,37941335.43,3.6294934262581875
