STCOFIPS,RegionName,nfip_cumulative_claim_payment,nfip_cumulative_claim_count,nfip_total_claim_payment,nfip_claim_count,nfip_recent_3yr_claim_payment,nfip_cumulative_claim_payment_millions,log_nfip_cumulative_claim_payment
12001,Alachua County,6741574.43,162.0,6741574.43,162.0,4095305.92,6.74157443,15.723804198898218
12003,Baker County,2011586.32,49.0,2011586.32,49.0,937761.14,2.01158632,14.514434679820033
12005,Bay County,158586013.69,3441.0,158586013.69,3441.0,137115824.19,158.58601369,18.881807683516556
12007,Bradford County,3972371.02,130.0,3972371.02,130.0,3206537.61,3.97237102,15.194873960385689
12009,Brevard County,33558831.34,1676.0,33558831.34,1676.0,22015440.42,33.558831340000005,17.328810645751783
12011,Broward County,370567774.03,10978.0,370567774.03,10978.0,288089104.87,370.56777402999995,19.730546914527032
12013,Calhoun County,181879.82,14.0,181879.82,14.0,118489.09,0.18187982,12.111106916395904
12015,Charlotte County,461155716.86,8964.0,461155716.86,8964.0,456401720.51,461.15571686000004,19.949246326701736
12017,Citrus County,322589290.18,3980.0,322589290.18,3980.0,269955798.93,322.58929018000003,19.591890527754124
12019,Clay County,69913375.06,1147.0,69913375.06,1147.0,62336454.99,69.91337506,18.062767548839837
12021,Collier County,1114534735.9,12816.0,1114534735.8999999,12816.0,1051580510.51,1114.5347359,20.831702878451633
12023,Columbia County,5651760.7,160.0,5651760.7,160.0,4338175.63,5.6517607000000005,15.547477859831185
12027,De Soto County,14541777.96,234.0,14541777.96,234.0,12164619.99,14.541777960000001,16.49253637196659
12029,Dixie County,14831982.91,342.0,14831982.91,342.0,12391101.82,14.83198291,16.512296481970573
12031,Duval County,183286994.43,3660.0,183286994.43,3660.0,164680771.97000003,183.28699443000002,19.02656376337546
12033,Escambia County,191431729.57,4722.0,191431729.57,4722.0,98748177.34,191.43172957,19.070041804695357
12035,Flagler County,76277883.64,1777.0,76277883.64,1777.0,55726539.38,76.27788364,18.149893606796496
12037,Franklin County,20893013.130000003,954.0,20893013.130000003,954.0,19441793.46,20.893013130000003,16.854925408907228
12039,Gadsden County,121509.48,4.0,121509.48,4.0,117040.86,0.12150947999999999,11.707755793187012
12041,Gilchrist County,431826.76,40.0,431826.76,40.0,184003.14,0.43182676000000003,12.97578208401909
12043,Glades County,112178.56,13.0,112178.56,13.0,103534.78,0.11217856,11.627856080786852
12045,Gulf County,83108058.44000001,1015.0,83108058.44000001,1015.0,82578773.18,83.10805844000001,18.235652239960498
12047,Hamilton County,50367.3,8.0,50367.3,8.0,47620.04,0.050367300000000004,10.82711728792198
12049,Hardee County,5469225.05,80.0,5469225.05,80.0,4317813.649999999,5.4692250499999995,15.514647674442362
12051,Hendry County,297467.22,37.0,297467.22,37.0,227713.41,0.29746722,12.60306267473237
