Variable,count,mean,std,min,25%,50%,75%,max
avg_annual_housing_price,1000.0,215760.5413060663,118805.16269750304,69581.75372284662,128794.82078850226,188718.6454928067,272562.171175274,993480.7283744996
annual_price_growth_pct,997.0,6.289901005066913,7.952636351150336,-14.023179986105596,1.3444284072717891,5.916555871434274,9.870355568577647,35.73562109764435
appreciation_from_baseline_pct,1000.0,57.045141994657946,61.67931900168064,-19.57100455998907,3.414478777706904,39.77744951557128,102.41232906148647,267.02377478540024
annual_price_volatility,1000.0,5510.031966414331,5890.97282261099,161.59264428451073,2161.4681805737937,3834.137809855357,6172.371068376349,57938.92188274015
CFLD_RISKS,1000.0,47.536,37.728855940388264,0.0,0.0,61.2,78.55000000000001,99.6
HRCN_RISKS,1000.0,94.01501877346685,5.435595678927077,74.46808510638297,90.5715477680434,94.99374217772215,98.66499791405924,99.95828118481434
SOVI_SCORE,1000.0,57.8004134865,23.423847542746934,11.38676845,39.88549618,56.67938931,75.85877863,97.90076336
RESL_SCORE,1000.0,32.34494274809454,22.898232932445975,0.667938931,10.909669211195927,29.4529262086514,47.77353689567431,96.27862595419847
cumulative_climate_disaster_count,1000.0,6.358,6.101234388307096,0.0,1.0,5.0,10.0,22.0
recent_3yr_climate_disaster_count,1000.0,3.254,2.921989394577267,0.0,1.0,3.0,5.0,13.0
median_household_income,1000.0,52710.89040000013,14197.134052047439,29806.0,41522.5,49682.0,60779.5,118559.10000000148
poverty_rate,1000.0,16.370650756542158,5.254394364351621,5.586095135203839,12.23056296729329,15.366850375212017,19.87842727198138,31.86793141189347
unemployment_rate,1000.0,7.962709233012336,3.421747236495094,2.3198528841844563,5.14442483075212,7.136564066701334,10.464077627754554,22.75483684666474
renter_occupied_share,1000.0,27.146979425476136,7.689857440101862,9.599655617735689,22.00344943794444,25.636447276308175,30.551279803086636,48.84012624353048
price_to_income_ratio,1000.0,3.9029669547344175,1.2609287559608608,1.8553002323197805,2.970491949400351,3.727949019792345,4.543510667706358,11.815153116265003
nfip_cumulative_claim_payment,1000.0,57570974.72822,301295192.788854,0.0,169560.41999999998,2377157.97,14885343.254999999,3878871800.62
nfip_recent_3yr_claim_payment,1000.0,39236313.60158,265517512.88411382,0.0,24267.01,388003.74,4372396.6125,3808978824.77
neighbor_avg_price_growth_pct,1000.0,6.258630254587963,7.558302580056796,-11.88523640571566,1.967185086805433,6.088982255355619,9.269899250482926,30.92090667724972
