feature_group,class,precision,recall,f1_score,support
Housing Only,Low,0.6666666666666666,0.03773584905660377,0.07142857142857142,53.0
Housing Only,Medium,0.3076923076923077,0.25316455696202533,0.2777777777777778,79.0
Housing Only,High,0.38345864661654133,0.7391304347826086,0.504950495049505,69.0
Housing + Climate,Low,0.75,0.16981132075471697,0.27692307692307694,53.0
Housing + Climate,Medium,0.42718446601941745,0.5569620253164557,0.4835164835164835,79.0
Housing + Climate,High,0.5581395348837209,0.6956521739130435,0.6193548387096774,69.0
Housing + Climate + Disaster,Low,0.7692307692307693,0.7547169811320755,0.7619047619047619,53.0
Housing + Climate + Disaster,Medium,0.5909090909090909,0.8227848101265823,0.6878306878306878,79.0
Housing + Climate + Disaster,High,0.8717948717948718,0.4927536231884058,0.6296296296296297,69.0
Housing + Climate + Disaster + ACS,Low,0.6301369863013698,0.8679245283018868,0.7301587301587301,53.0
Housing + Climate + Disaster + ACS,Medium,0.7058823529411765,0.6075949367088608,0.6530612244897959,79.0
Housing + Climate + Disaster + ACS,High,0.9166666666666666,0.7971014492753623,0.8527131782945736,69.0
Full Model,Low,0.6162790697674418,1.0,0.762589928057554,53.0
Full Model,Medium,0.9047619047619048,0.4810126582278481,0.628099173553719,79.0
Full Model,High,0.8904109589041096,0.9420289855072463,0.9154929577464789,69.0
