STCOFIPS,geometry_county_name,county_name,latest_year,latest_vulnerability_score,latest_vulnerability_class,dominant_recent_cluster_name,dominant_profile_persistence_pct,recent_avg_annual_growth_pct,recent_avg_vulnerability_score,risk_cluster_share_pct,hidden_risk_category,scenarios_selected,selection_rate_pct
12001,Alachua,Alachua County,2025,0.3564096974220504,Low,Lower-Stress Resilient Profile,60.0,7.1838,0.4546,40.0,Other County,0,0.0
12003,Baker,Baker County,2025,0.2720111585961632,Low,Lower-Stress Resilient Profile,100.0,7.3224,0.3296,0.0,Other County,0,0.0
12005,Bay,Bay County,2025,0.50205732590312,Medium,Disaster-Loss Growth Pressure,100.0,7.7023,0.5709,100.0,Other County,0,0.0
12007,Bradford,Bradford County,2025,0.355458375916904,Low,Socioeconomic Resilience Stress,80.0,9.4719,0.4438,20.0,Other County,0,0.0
12009,Brevard,Brevard County,2025,0.4965448122666481,Medium,Disaster-Loss Growth Pressure,60.0,8.2463,0.5282,60.0,Other County,0,0.0
12011,Broward,Broward County,2025,0.5567820126617345,High,Disaster-Loss Growth Pressure,60.0,8.6615,0.6195,100.0,Other County,0,0.0
12013,Calhoun,Calhoun County,2025,0.4109903623715635,Low,Socioeconomic Resilience Stress,100.0,7.9343,0.4737,0.0,Other County,0,0.0
12015,Charlotte,Charlotte County,2025,0.5267577396120399,High,Disaster-Loss Growth Pressure,60.0,7.6553,0.6237,100.0,Other County,0,0.0
12017,Citrus,Citrus County,2025,0.544868511747463,High,Disaster-Loss Growth Pressure,60.0,9.7254,0.63,100.0,Hidden Risk,5,62.5
12019,Clay,Clay County,2025,0.4119272368917747,Low,Lower-Stress Resilient Profile,60.0,8.0495,0.4724,40.0,Other County,0,0.0
12021,Collier,Collier County,2025,0.5529500727397143,High,Disaster-Loss Growth Pressure,80.0,10.5318,0.6297,100.0,Priority Hidden Risk,8,100.0
12023,Columbia,Columbia County,2025,0.3914347591980113,Low,Socioeconomic Resilience Stress,60.0,9.5645,0.4839,40.0,Other County,0,0.0
12027,DeSoto,De Soto County,2025,0.5137726743070177,Medium,Socioeconomic Resilience Stress,60.0,9.5773,0.5948,40.0,Other County,0,0.0
12029,Dixie,Dixie County,2025,0.4728176903273859,Medium,Disaster-Loss Growth Pressure,60.0,9.8193,0.5695,80.0,Priority Hidden Risk,7,87.5
12031,Duval,Duval County,2025,0.4586072722495246,Medium,Disaster-Loss Growth Pressure,60.0,7.8179,0.5441,80.0,Other County,0,0.0
12033,Escambia,Escambia County,2025,0.4434752696799069,Medium,High-Exposure Latent Risk,60.0,7.7155,0.535,100.0,Other County,0,0.0
12035,Flagler,Flagler County,2025,0.4459968489648652,Medium,Disaster-Loss Growth Pressure,60.0,7.391,0.5269,80.0,Other County,0,0.0
12037,Franklin,Franklin County,2025,0.4445560686356837,Medium,Disaster-Loss Growth Pressure,80.0,7.6831,0.5366,80.0,Other County,0,0.0
12039,Gadsden,Gadsden County,2025,0.4032094850391825,Low,Socioeconomic Resilience Stress,100.0,9.2633,0.4632,0.0,Other County,0,0.0
12041,Gilchrist,Gilchrist County,2025,0.3980358345902599,Low,Socioeconomic Resilience Stress,80.0,10.7497,0.4939,20.0,Other County,0,0.0
12043,Glades,Glades County,2025,0.4359308404123886,Low,Socioeconomic Resilience Stress,100.0,12.083,0.4953,0.0,Other County,0,0.0
12045,Gulf,Gulf County,2025,0.4205136802363778,Low,Disaster-Loss Growth Pressure,80.0,9.4014,0.5015,80.0,Hidden Risk,2,25.0
12047,Hamilton,Hamilton County,2025,0.4035103193905848,Low,Socioeconomic Resilience Stress,100.0,11.6212,0.4876,0.0,Other County,0,0.0
12049,Hardee,Hardee County,2025,0.4466457517695035,Medium,Socioeconomic Resilience Stress,80.0,11.2019,0.5176,20.0,Other County,0,0.0
12051,Hendry,Hendry County,2025,0.4731972552963689,Medium,Socioeconomic Resilience Stress,80.0,11.8097,0.5538,20.0,Other County,0,0.0
12053,Hernando,Hernando County,2025,0.5153757819542794,Medium,Disaster-Loss Growth Pressure,80.0,10.824,0.5955,100.0,Priority Hidden Risk,8,100.0
