County,Hidden-Risk Status,Recent Average Growth (%),Recent Average Vulnerability,2025 Vulnerability Class,Dominant Recent Profile,Risk-Profile Persistence (%),Scenarios Selected,Selection Rate (%)
Hernando County,Priority Hidden Risk,10.824,0.5955,Medium,Disaster-Loss Growth Pressure,100.0,8,100.0
Collier County,Priority Hidden Risk,10.5318,0.6297,High,Disaster-Loss Growth Pressure,100.0,8,100.0
Monroe County,Priority Hidden Risk,10.046,0.6352,High,Disaster-Loss Growth Pressure,100.0,8,100.0
Miami-Dade County,Priority Hidden Risk,10.0276,0.6483,High,High-Exposure Latent Risk,100.0,8,100.0
Dixie County,Priority Hidden Risk,9.8193,0.5695,Medium,Disaster-Loss Growth Pressure,80.0,7,87.5
Levy County,Priority Hidden Risk,9.7679,0.5853,Medium,Disaster-Loss Growth Pressure,80.0,7,87.5
Citrus County,Hidden Risk,9.7254,0.63,High,Disaster-Loss Growth Pressure,100.0,5,62.5
Palm Beach County,Hidden Risk,9.3391,0.6108,High,High-Exposure Latent Risk,100.0,5,62.5
Hillsborough County,Hidden Risk,9.3172,0.62,High,Disaster-Loss Growth Pressure,100.0,5,62.5
Pasco County,Hidden Risk,9.1633,0.6183,High,Disaster-Loss Growth Pressure,100.0,5,62.5
Manatee County,Hidden Risk,8.9595,0.6318,High,Disaster-Loss Growth Pressure,100.0,5,62.5
Marion County,Hidden Risk,9.7464,0.5391,Medium,Disaster-Loss Growth Pressure,80.0,4,50.0
Walton County,Hidden Risk,9.2837,0.5185,Medium,Disaster-Loss Growth Pressure,100.0,4,50.0
Martin County,Hidden Risk,9.1214,0.542,Medium,High-Exposure Latent Risk,100.0,4,50.0
Gulf County,Hidden Risk,9.4014,0.5015,Low,Disaster-Loss Growth Pressure,80.0,2,25.0
