class,feature,coefficient,absolute_coefficient,direction
High,Year,-0.5564,0.5564,Negative
High,avg_annual_housing_price,0.134,0.134,Positive
High,median_annual_housing_price,0.1519,0.1519,Positive
High,min_annual_housing_price,0.0885,0.0885,Positive
High,max_annual_housing_price,0.0907,0.0907,Positive
High,annual_price_volatility,0.1226,0.1226,Positive
High,monthly_observations,-0.0405,0.0405,Negative
High,is_metro,-0.0005,0.0005,Negative
High,SizeRank,-0.7768,0.7768,Negative
High,POPULATION,0.4067,0.4067,Positive
High,CFLD_RISKS,2.5871,2.5871,Positive
High,HRCN_RISKS,1.096,1.096,Positive
High,SOVI_SCORE,0.971,0.971,Positive
High,RESL_SCORE,-2.9307,2.9307,Negative
High,prev_year_housing_price,0.1065,0.1065,Positive
High,annual_price_growth_dollar,0.1795,0.1795,Positive
High,annual_price_growth_pct,0.3394,0.3394,Positive
High,baseline_housing_price,-0.1807,0.1807,Negative
High,appreciation_from_baseline_pct,0.2695,0.2695,Positive
High,price_growth_acceleration,0.4097,0.4097,Positive
High,high_growth_flag,0.2747,0.2747,Positive
High,high_volatility_flag,0.1449,0.1449,Positive
High,complete_year_flag,-0.0405,0.0405,Negative
High,neighbor_count,-0.1862,0.1862,Negative
High,neighbor_avg_housing_price,-0.1449,0.1449,Negative
High,neighbor_avg_price_growth_pct,0.785,0.785,Positive
High,neighbor_avg_price_volatility,0.4234,0.4234,Positive
High,neighbor_high_growth_share,1.8181,1.8181,Positive
High,neighbor_high_volatility_share,1.1041,1.1041,Positive
High,disaster_count,0.1288,0.1288,Positive
High,unique_disaster_events,0.1288,0.1288,Positive
High,climate_disaster_count,0.6546,0.6546,Positive
High,hurricane_disaster_count,0.8106,0.8106,Positive
High,tropical_storm_disaster_count,0.0034,0.0034,Positive
High,severe_storm_disaster_count,-0.3066,0.3066,Negative
High,flood_disaster_count,0.0,0.0,Zero
High,fire_disaster_count,0.2246,0.2246,Positive
High,any_disaster_flag,-0.0548,0.0548,Negative
High,any_climate_disaster_flag,0.0661,0.0661,Positive
High,cumulative_disaster_count,0.1713,0.1713,Positive
High,cumulative_climate_disaster_count,0.5437,0.5437,Positive
High,recent_3yr_disaster_count,-0.0187,0.0187,Negative
High,recent_3yr_climate_disaster_count,0.6364,0.6364,Positive
High,acs_total_population,0.4622,0.4622,Positive
High,median_household_income,-0.6445,0.6445,Negative
High,poverty_rate,0.3691,0.3691,Positive
High,unemployment_rate,-0.0166,0.0166,Negative
High,owner_occupied_share,-0.2911,0.2911,Negative
High,renter_occupied_share,0.2911,0.2911,Positive
High,median_gross_rent,0.4554,0.4554,Positive
High,acs_median_home_value,-0.4,0.4,Negative
High,price_to_income_ratio,0.9082,0.9082,Positive
High,acs_estimated_2025_flag,0.0,0.0,Zero
High,nfip_claim_count,0.3543,0.3543,Positive
High,nfip_policy_count_sum,0.1421,0.1421,Positive
High,nfip_total_building_payment,0.0551,0.0551,Positive
High,nfip_total_contents_payment,0.0793,0.0793,Positive
High,nfip_total_icc_payment,-0.3626,0.3626,Negative
High,nfip_total_claim_payment,0.0571,0.0571,Positive
High,nfip_avg_claim_payment,1.3848,1.3848,Positive
High,nfip_total_building_coverage,0.1642,0.1642,Positive
High,nfip_total_contents_coverage,0.319,0.319,Positive
High,nfip_cumulative_claim_count,0.5113,0.5113,Positive
High,nfip_cumulative_claim_payment,0.2677,0.2677,Positive
High,nfip_recent_3yr_claim_count,0.2956,0.2956,Positive
High,nfip_recent_3yr_claim_payment,0.2246,0.2246,Positive
High,nfip_claim_year_indicator,1.1128,1.1128,Positive
Low,Year,0.4987,0.4987,Positive
Low,avg_annual_housing_price,-0.1154,0.1154,Negative
Low,median_annual_housing_price,-0.102,0.102,Negative
Low,min_annual_housing_price,-0.1093,0.1093,Negative
Low,max_annual_housing_price,-0.1627,0.1627,Negative
Low,annual_price_volatility,-0.451,0.451,Negative
Low,monthly_observations,-0.0068,0.0068,Negative
Low,is_metro,-0.0657,0.0657,Negative
Low,SizeRank,0.7358,0.7358,Positive
Low,POPULATION,-0.7671,0.7671,Negative
Low,CFLD_RISKS,-2.4688,2.4688,Negative
Low,HRCN_RISKS,-0.6701,0.6701,Negative
Low,SOVI_SCORE,-1.0683,1.0683,Negative
Low,RESL_SCORE,3.1659,3.1659,Positive
Low,prev_year_housing_price,-0.1475,0.1475,Negative
Low,annual_price_growth_dollar,0.028,0.028,Positive
Low,annual_price_growth_pct,-0.5492,0.5492,Negative
Low,baseline_housing_price,-0.4675,0.4675,Negative
Low,appreciation_from_baseline_pct,-0.3054,0.3054,Negative
Low,price_growth_acceleration,-0.4349,0.4349,Negative
Low,high_growth_flag,-0.4925,0.4925,Negative
Low,high_volatility_flag,0.0643,0.0643,Positive
Low,complete_year_flag,-0.0068,0.0068,Negative
Low,neighbor_count,0.2529,0.2529,Positive
Low,neighbor_avg_housing_price,-0.1839,0.1839,Negative
Low,neighbor_avg_price_growth_pct,-0.8804,0.8804,Negative
Low,neighbor_avg_price_volatility,-0.3739,0.3739,Negative
Low,neighbor_high_growth_share,-1.5334,1.5334,Negative
Low,neighbor_high_volatility_share,-1.321,1.321,Negative
Low,disaster_count,-0.2798,0.2798,Negative
Low,unique_disaster_events,-0.2798,0.2798,Negative
