cluster_name,feature_dimension,feature_count,mean_total_signed_high_shap,mean_signed_high_shap_per_feature,mean_positive_high_shap_per_feature,mean_negative_high_shap_per_feature
Disaster-Loss Growth Pressure,Climate Exposure,2,1.620256423390819,0.8101282116954095,1.2459347609035534,-0.43580654920814405
Disaster-Loss Growth Pressure,Disaster History,14,7.115523629563266,0.5082516878259475,0.5388538696641214,-0.030602181838173904
Disaster-Loss Growth Pressure,Housing Pressure and Market Conditions,15,0.25795859259670645,0.017197239506447082,0.14209697718533978,-0.12489973767889269
Disaster-Loss Growth Pressure,Insurance-Loss Stress,14,6.075882979109976,0.43399164136499824,0.46992983928328874,-0.03593819791829053
Disaster-Loss Growth Pressure,Resilience,1,0.07625513396373852,0.07625513396373852,1.1167610292899486,-1.0405058953262096
Disaster-Loss Growth Pressure,Socioeconomic and Affordability Stress,14,0.34444983939184437,0.024603559956560293,0.2764890534345623,-0.251885493478002
Disaster-Loss Growth Pressure,Spatial Spillover,6,-3.6142512009291163,-0.6023752001548526,0.055016460779944355,-0.6573916609347971
High-Exposure Latent Risk,Climate Exposure,2,3.4363575229865364,1.7181787614932686,1.7319500837524968,-0.013771322259228455
High-Exposure Latent Risk,Disaster History,14,1.6639077460512806,0.11885055328937719,0.23015481889399428,-0.1113042656046171
High-Exposure Latent Risk,Housing Pressure and Market Conditions,15,0.19102360950503952,0.012734907300335972,0.14125392633079198,-0.128519019030456
High-Exposure Latent Risk,Insurance-Loss Stress,14,2.860156698907763,0.20429690706484022,0.2500494082457307,-0.04575250118089047
High-Exposure Latent Risk,Resilience,1,0.20871129419356535,0.20871129419356535,0.864032633595637,-0.6553213394020717
High-Exposure Latent Risk,Socioeconomic and Affordability Stress,14,1.8052764878845304,0.12894832056318073,0.36303939280966396,-0.23409107224648323
High-Exposure Latent Risk,Spatial Spillover,6,-3.1830188586894814,-0.5305031431149136,0.12248787347183107,-0.6529910165867446
Lower-Stress Resilient Profile,Climate Exposure,2,-0.198632672283237,-0.0993163361416185,0.7022544143334791,-0.8015707504750977
Lower-Stress Resilient Profile,Disaster History,14,3.4835865296446507,0.2488276092603322,0.32841853151656436,-0.07959092225623224
Lower-Stress Resilient Profile,Housing Pressure and Market Conditions,15,-0.13674698315268136,-0.009116465543512092,0.11820512495227395,-0.12732159049578606
Lower-Stress Resilient Profile,Insurance-Loss Stress,14,-0.05897177736538968,-0.00421226981181355,0.08789485539144651,-0.09210712520326006
Lower-Stress Resilient Profile,Resilience,1,-3.593678605808317,-3.593678605808317,0.0,-3.593678605808317
Lower-Stress Resilient Profile,Socioeconomic and Affordability Stress,14,-2.7316486803113595,-0.19511776287938287,0.18924690044887485,-0.3843646633282577
Lower-Stress Resilient Profile,Spatial Spillover,6,-3.8534928647601334,-0.6422488107933557,0.061956956982706236,-0.7042057677760619
Socioeconomic Resilience Stress,Climate Exposure,2,-3.073335297329608,-1.536667648664804,0.0636920659660445,-1.6003597146308488
Socioeconomic Resilience Stress,Disaster History,14,4.045545444091126,0.2889675317207947,0.3548618079679189,-0.06589427624712418
Socioeconomic Resilience Stress,Housing Pressure and Market Conditions,15,-0.43695542722736985,-0.029130361815158008,0.0761261953050872,-0.1052565571202452
Socioeconomic Resilience Stress,Insurance-Loss Stress,14,-2.2852975889514124,-0.16323554206795798,0.022119736959270837,-0.18535527902722884
Socioeconomic Resilience Stress,Resilience,1,2.2131167656636865,2.2131167656636865,2.243875415536453,-0.030758649872766514
Socioeconomic Resilience Stress,Socioeconomic and Affordability Stress,14,-0.7400402674883784,-0.05286001910631274,0.1148423900090328,-0.16770240911534554
Socioeconomic Resilience Stress,Spatial Spillover,6,-3.6992938771900388,-0.616548979531673,0.03776690483831168,-0.6543158843699848
