feature,mean_absolute_shap,global_rank
RESL_SCORE,1.7391470279127574,1
CFLD_RISKS,1.612059804643618,2
neighbor_high_growth_share,1.5368304587731407,3
cumulative_climate_disaster_count,1.2223867345723247,4
recent_3yr_climate_disaster_count,1.181523804855185,5
median_household_income,1.1456566962188626,6
nfip_avg_claim_payment,1.0691782324598929,7
acs_median_home_value,0.8611881653951448,8
Year,0.8044694511744714,9
climate_disaster_count,0.7560261221766248,10
median_gross_rent,0.7324924212196081,11
price_growth_acceleration,0.6582357408425094,12
nfip_claim_year_indicator,0.6319693393081638,13
neighbor_high_volatility_share,0.6240039383341871,14
price_to_income_ratio,0.6211955336189714,15
HRCN_RISKS,0.585188387472884,16
SOVI_SCORE,0.5846910001254255,17
nfip_cumulative_claim_count,0.5192772202518651,18
appreciation_from_baseline_pct,0.48720360319122885,19
hurricane_disaster_count,0.47124573700368705,20
neighbor_avg_price_growth_pct,0.4567193621817232,21
SizeRank,0.4563410228547252,22
neighbor_avg_housing_price,0.4527464166624721,23
high_growth_flag,0.38283850132899166,24
cumulative_disaster_count,0.36182460430900437,25
nfip_recent_3yr_claim_count,0.3413212321029271,26
POPULATION,0.32810276873490135,27
baseline_housing_price,0.30096858241678814,28
unique_disaster_events,0.28674412593071963,29
disaster_count,0.28674412593071963,30
acs_total_population,0.2844606444437278,31
annual_price_growth_pct,0.2825942672923644,32
nfip_cumulative_claim_payment,0.2557226075686583,33
owner_occupied_share,0.23683938082073633,34
renter_occupied_share,0.2368393808207353,35
poverty_rate,0.2213452691004727,36
prev_year_housing_price,0.20452149064453218,37
recent_3yr_disaster_count,0.1703015170335403,38
nfip_recent_3yr_claim_payment,0.16635370814974285,39
max_annual_housing_price,0.1589619899654045,40
median_annual_housing_price,0.15738325262772532,41
unemployment_rate,0.15674532432939609,42
annual_price_volatility,0.14674280370334178,43
any_climate_disaster_flag,0.14644233042768695,44
high_volatility_flag,0.1410211370845871,45
avg_annual_housing_price,0.14098156172906012,46
neighbor_count,0.1313507120907196,47
min_annual_housing_price,0.12793467642213568,48
any_disaster_flag,0.12198096748157976,49
neighbor_avg_price_volatility,0.11986718971410491,50
nfip_claim_count,0.11120224387059854,51
severe_storm_disaster_count,0.10925971427264063,52
nfip_total_icc_payment,0.09517173248925848,53
annual_price_growth_dollar,0.09271756007370285,54
nfip_total_contents_coverage,0.09188079539349553,55
tropical_storm_disaster_count,0.08317845422018853,56
nfip_total_building_coverage,0.05127086580149511,57
nfip_policy_count_sum,0.05072586417943766,58
is_metro,0.038712995055014014,59
nfip_total_contents_payment,0.023615149765653525,60
fire_disaster_count,0.017231843915731616,61
nfip_total_claim_payment,0.014867732114067913,62
nfip_total_building_payment,0.0141100686944133,63
monthly_observations,0.0017842721438600152,64
complete_year_flag,0.0017842721438597778,65
flood_disaster_count,0.0,66
acs_estimated_2025_flag,0.0,67
