model,feature,importance
Decision Tree,CFLD_RISKS,0.28307388034262737
Decision Tree,neighbor_avg_price_growth_pct,0.28048216939298926
Decision Tree,RESL_SCORE,0.09989594806917838
Decision Tree,climate_disaster_count,0.06150791254644271
Decision Tree,annual_price_growth_dollar,0.04441292899702392
Decision Tree,nfip_recent_3yr_claim_payment,0.04180077846052679
Decision Tree,SOVI_SCORE,0.041107462609942795
Decision Tree,neighbor_avg_housing_price,0.038257933416914226
Decision Tree,nfip_cumulative_claim_payment,0.03736316085876319
Decision Tree,nfip_avg_claim_payment,0.025139842389044754
Decision Tree,nfip_total_claim_payment,0.01480795578535808
Decision Tree,annual_price_volatility,0.009445146640373032
Decision Tree,cumulative_climate_disaster_count,0.007921310110621659
Decision Tree,HRCN_RISKS,0.006550500212728712
Decision Tree,nfip_policy_count_sum,0.0045594340342391985
Decision Tree,SizeRank,0.0028561227401981315
Decision Tree,acs_total_population,0.0005100219178925339
Decision Tree,neighbor_count,0.0003074914751352027
Decision Tree,Year,0.0
Decision Tree,avg_annual_housing_price,0.0
Decision Tree,median_annual_housing_price,0.0
Decision Tree,min_annual_housing_price,0.0
Decision Tree,max_annual_housing_price,0.0
Decision Tree,monthly_observations,0.0
Decision Tree,is_metro,0.0
Decision Tree,POPULATION,0.0
Decision Tree,prev_year_housing_price,0.0
Decision Tree,annual_price_growth_pct,0.0
Decision Tree,baseline_housing_price,0.0
Decision Tree,appreciation_from_baseline_pct,0.0
Decision Tree,price_growth_acceleration,0.0
Decision Tree,high_growth_flag,0.0
Decision Tree,high_volatility_flag,0.0
Decision Tree,complete_year_flag,0.0
Decision Tree,neighbor_avg_price_volatility,0.0
Decision Tree,neighbor_high_growth_share,0.0
Decision Tree,neighbor_high_volatility_share,0.0
Decision Tree,disaster_count,0.0
Decision Tree,unique_disaster_events,0.0
Decision Tree,hurricane_disaster_count,0.0
Decision Tree,tropical_storm_disaster_count,0.0
Decision Tree,severe_storm_disaster_count,0.0
Decision Tree,flood_disaster_count,0.0
Decision Tree,fire_disaster_count,0.0
Decision Tree,any_disaster_flag,0.0
